日期,总资产,可用资金,持仓数量,今日收益,累计收益,买入数量,卖出数量,买入标的,卖出标的
20260105,999957.47,858154.47,3,-4.252999999998508e-05,-4.253000000002794e-05,3,0,"000858,601398,002415",
20260112,1002603.47,858154.47,3,0.0030523660253674034,0.002603469999999972,0,0,,
20260119,998605.47,858154.47,3,-0.0007394847544410776,-0.001394530000000028,0,0,,
20260122,998438.78,904005.78,2,-0.0010672177712043318,-0.0015612199999999721,0,1,,601398
20260126,998612.78,854006.78,3,0.00032054724466701323,-0.001387219999999972,1,0,601398,
20260202,1000203.4500000001,806216.4500000001,4,0.001789503177220375,0.00020345000000006986,1,0,002230,
20260206,997750.16,850293.16,3,-0.0013265164307660893,-0.0022498399999999674,0,1,,002230
20260209,997852.75,805591.75,4,0.00010282133154460027,-0.00214725,1,0,002230,
20260302,990397.75,805591.75,4,-0.0017205844443340945,-0.00960225,0,0,,
20260304,986472.88,846646.88,3,-0.0016656601243524305,-0.013527119999999995,0,1,,002230
20260309,988296.87,799931.87,4,-0.0002872906059037117,-0.011703130000000004,1,0,002230,
20260316,991788.87,799931.87,4,0.0010082864492750865,-0.008211130000000004,0,0,,
20260323,983391.8500000001,794882.8500000001,4,-0.005779970409121815,-0.01660814999999991,1,1,002230,002230
20260330,985934.8500000001,794882.8500000001,4,0.0015033701139264277,-0.014065149999999907,0,0,,
20260413,989014.8500000001,794882.8500000001,4,0.0023004933848906894,-0.010985149999999907,0,0,,
20260420,994243.8500000001,794882.8500000001,4,0.003732281819885719,-0.005756149999999907,0,0,,
20260427,993343.8500000001,794882.8500000001,4,0.00043004608089791674,-0.006656149999999907,0,0,,
20260429,991664.5900000001,833923.5900000001,3,-0.002317237926759863,-0.008335409999999916,0,1,,000858
20260511,994808.7600000001,787804.7600000001,4,0.00014192681195135393,-0.005191239999999874,1,0,000858,
20260518,985190.7600000001,787804.7600000001,4,0.00036656081554653497,-0.014809239999999875,0,0,,
20260521,984109.1900000002,843469.1900000002,3,-0.00039468855673163716,-0.01589080999999982,0,1,,002415
20260522,984468.0300000001,886140.0300000001,2,0.00036463433493594266,-0.015531969999999855,0,1,,000858
20260525,985714.4600000002,844227.4600000002,3,0.0012660949487612871,-0.014285539999999805,1,0,000858,
